1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
149,1703,1798,971,525,2456,1427,1054,1745,1125,49,2577,1351,1212,1910,2614,2299,749,465,1368
"[0.82405978 0.02444862 0.         0.04387327 0.04991954 0.00732434
 0.01171769 0.         0.01617725 0.02248091 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[0.31019588 0.56630345 0.0446898  0.         0.         0.
 0.03565504 0.         0.         0.01123962 0.         0.03191928
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[0.10662764 0.         0.88657992 0.         0.00351163 0.
 0.         0.00328845 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[1.65265390e-04 0.00000000e+00 0.00000000e+00 9.44497364e-01
 4.96188328e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.72204490e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[0.         0.         0.         0.         0.88354119 0.
 0.         0.         0.0250362  0.         0.         0.
 0.0337443  0.         0.         0.         0.02917635 0.01623116
 0.01227095 0.        ]","[0.15828397 0.         0.         0.         0.         0.84173467
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[0.16339085 0.         0.         0.         0.         0.
 0.81202345 0.         0.         0.02459324 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[0.         0.         0.12106949 0.         0.         0.
 0.         0.85478226 0.         0.         0.         0.02415828
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.77549601 0.         0.         0.
 0.22451257 0.         0.         0.         0.         0.
 0.         0.        ]","[0.         0.         0.         0.         0.         0.
 0.05019763 0.         0.         0.89203299 0.         0.
 0.         0.         0.         0.03396294 0.         0.00276314
 0.         0.0210433 ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.99449293 0.
 0.         0.         0.00551754 0.         0.         0.
 0.         0.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.00000585
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.00234231 0.         0.         0.
 0.9976647  0.         0.         0.         0.         0.
 0.         0.        ]","[0.01478719 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.03310794
 0.00414111 0.94796969 0.         0.         0.         0.
 0.         0.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.00000283 0.         0.         0.
 0.         0.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.06625634 0.020918
 0.         0.0485163  0.         0.71224142 0.14002119 0.
 0.         0.0120469 ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.92925605 0.
 0.         0.07074385]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.92085917
 0.         0.07914048]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.00898174 0.
 0.         0.00456261 0.         0.03649303 0.00167455 0.
 0.94062859 0.00765967]","[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.9999993]"
